Key,English,Espanol,Catala
,,,
Menu.Title,Fast And Fractured,Rápidos y Fracturados,Rápids y Fracturats
Menu.SkipText,Press any button to skip,Presione cualquier botón para saltar,Prem qualsevol boto per saltar
Menu.PlayAgain,Play again,Jugar de nuevo,Jugar de nou
Menu.ConfigureCharacter,Modify character,Modificar personaje,Modificar personatge
Menu.ReturnToMainMenu,Return to main menu,Volver al menu principal,Tornar al menú principal
Menu.Win,You win,Has ganado,Has guanyat
Menu.Lose,You lose,Has perdido,Has perdut
Menu.FinalStats,Final stats,Estadísticas finales,Estadístiques finals
Menu.DamageTaked,Damage taked,Daño recibido,Dany rebut
Menu.DamageDealt,Damage dealt,Daño infligido,Dany infligit
Menu.DistanceDrived,Distance drived,Distancia recorrida,Distància recorreguda
